job_id	opaque_corpus_id	scale	seed	adequate_models	minimal_class	token_formation_depth	requested_negatives	constructible_negatives	PM6_available	failure_reasons
j-005d1f8c3789eec58d39	s-1d31695c4e69	LARGE	5926605175091344597		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-011e192a0487150406fc	s-614cdbd81cbf	MEDIUM	17114892940020194952		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0183c25414e43b3d67e9	s-614cdbd81cbf	MEDIUM	1732744527825098818		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-018ef319605a204ad28c	s-47b9317c1ee7	MEDIUM	2692673867141824034		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01a41d387e12c344be8f	s-8f8dc60ab0b4	SMALL	14457775468807262142		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01d3220f816378b870d0	s-f4054cfa9ec9	SMALL	1573524650895178781		NONE	NOT_IDENTIFIABLE	103	103	true	M0:COMPLEXITY_UNBOUNDED;M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01e16589a0b5d86ed10c	s-aab291e34c5e	VOYNICH_SCALE	14260345676527209101		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M5:NEGATIVE_EXHAUSTED
j-0214dc7c32bafb01a5e4	s-4a57d700bac6	SMALL	10928755458849406814		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-02529b43cdfc6f5a3b3e	s-7991a2a78396	LARGE	9929963979537073925		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-02b68a5f29d3a6b245a8	s-3b27442e22a6	LARGE	12042593827071732723		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-04f51bbc4eda2a979c0b	s-614cdbd81cbf	VOYNICH_SCALE	17202981527937496082		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-052b0d81865b51c5c6d8	s-7991a2a78396	LARGE	4748145702515909294		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-054770589fb40ca63844	s-47b9317c1ee7	SMALL	2369499627288100105		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-065b27687e83559fa883	s-8f8dc60ab0b4	MEDIUM	12983432040791201254		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0673d9982d28d4024507	s-8f8dc60ab0b4	MEDIUM	9246264214123350358		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-067fd495f31882f90627	s-e2cc3e1401d3	SMALL	7341714388023389420		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-06d54e6b2703a3e9fc12	s-9cd898e03523	SMALL	12009113777480840219		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M5:NEGATIVE_EXHAUSTED
j-07285375e79939a4e232	s-665090602867	LARGE	12594034981828466811		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-078b86ba85425f0157a3	s-7991a2a78396	VOYNICH_SCALE	8484735087357809259		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-07b3e152b58ad5a06c2a	s-c13a20c1b1a6	LARGE	580284300165903039		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0906a166d58ef13dab6b	s-b64b9d917e62	SMALL	10798233077294980148		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0974407dd8bcff0b56d7	s-e98255971d80	LARGE	8848878917713709607		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED
j-09a7b7261556707822db	s-3b27442e22a6	LARGE	5628778762025399464		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED
j-09ae0e0083558b9322f9	s-b64b9d917e62	MEDIUM	17365954736564500664		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09ae983e73510328fe3a	s-c13a20c1b1a6	SMALL	15727712912842334503		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09eb4e5fa6a2c1b6e3a3	s-5a165cc265b7	LARGE	16968308063227026182		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0a1637495e92866bc0fb	s-2af7a06b0667	VOYNICH_SCALE	5332077506316673088		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0a35560b9bd7662efb17	s-e2cc3e1401d3	SMALL	11730778506906289442		NONE	NOT_IDENTIFIABLE	103	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0a52c0b252f07154ad5b	s-665090602867	LARGE	14404653074637199450		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0a6c095660ca54e094c7	s-1d31695c4e69	LARGE	14936569913270488969		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0c2bd3ac6fd4c8a48fd1	s-9cd898e03523	VOYNICH_SCALE	14455448808630676851		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M5:NEGATIVE_EXHAUSTED
j-0ce23a21213fc21a27a1	s-614cdbd81cbf	MEDIUM	17965457309527064529		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
