operation	suite	status	independence
RNG	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
preprocessing	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M0 fit/score/generate	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M1 fit/score/generate	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M2 induction/score/generate	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M3 exact	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M3 approximate	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M4 EM/restart/generation	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
M5 backoff/generation	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
predictive baselines	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
PM5	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
PM6 ordinary	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
PM6 saturated	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
structural threshold derivation	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
structural aggregation	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
complexity M0-M5	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
minimality	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
NONE	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
NOT_IDENTIFIABLE	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
reachability	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
canonical evidence	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
JobID/DAG expansion	golden/G1V2_GOLDEN_SUITE.json	COVERED	hand formula/reference builder
