ambiguity_id	original_problem	resolution	scientific_rationale	exact_artifact	golden_test	residual_ambiguity	verdict
A01	M0	Frozen executable M0 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M0	NONE	CLOSED
A02	M1	Frozen executable M1 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M1	NONE	CLOSED
A03	M2	Frozen executable M2 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M2	NONE	CLOSED
A04	M3	Frozen executable M3 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M3	NONE	CLOSED
A05	M4	Frozen executable M4 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M4	NONE	CLOSED
A06	M5	Frozen executable M5 definition	preregistered finite deterministic completion	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json#M5	NONE	CLOSED
A07	RNG	Frozen executable RNG definition	preregistered finite deterministic completion	G1V2_RNG_DOMAIN_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#RNG	NONE	CLOSED
A08	BASELINES	Frozen executable BASELINES definition	preregistered finite deterministic completion	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#BASELINES	NONE	CLOSED
A09	PM5	Frozen executable PM5 definition	preregistered finite deterministic completion	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#PM5	NONE	CLOSED
A10	PM6	Frozen executable PM6 definition	preregistered finite deterministic completion	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#PM6	NONE	CLOSED
A11	STRUCTURAL_THRESHOLDS	Frozen executable STRUCTURAL_THRESHOLDS definition	preregistered finite deterministic completion	G1V2_STRUCTURAL_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#STRUCTURAL_THRESHOLDS	NONE	CLOSED
A12	COMPLEXITY	Frozen executable COMPLEXITY definition	preregistered finite deterministic completion	G1V2_COMPLEXITY_CONTRACT.tsv	golden/G1V2_GOLDEN_SUITE.json#COMPLEXITY	NONE	CLOSED
A13	SYNTHETIC_CONTROLS	Frozen executable SYNTHETIC_CONTROLS definition	preregistered finite deterministic completion	G1V2_CONTROL_REGISTRY.tsv;G1V2_SYNTHETIC_GENERATOR_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#SYNTHETIC_CONTROLS	NONE	CLOSED
A14	NATURAL_LANGUAGE_CORPORA	Frozen executable NATURAL_LANGUAGE_CORPORA definition	preregistered finite deterministic completion	G1V2_CORPUS_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json#NATURAL_LANGUAGE_CORPORA	NONE	CLOSED
A15	REACHABILITY	Frozen executable REACHABILITY definition	preregistered finite deterministic completion	G1V2_REACHABILITY_CONTRACT.tsv	golden/G1V2_GOLDEN_SUITE.json#REACHABILITY	NONE	CLOSED
A16	DAG	Frozen executable DAG definition	preregistered finite deterministic completion	G1V2_DAG_CONTRACT.json	golden/G1V2_GOLDEN_SUITE.json#DAG	NONE	CLOSED
A17	EVIDENCE_SCHEMAS	Frozen executable EVIDENCE_SCHEMAS definition	preregistered finite deterministic completion	schemas/	golden/G1V2_GOLDEN_SUITE.json#EVIDENCE_SCHEMAS	NONE	CLOSED
