our_task	our_property	closest_literature_source	literature_metric	methodological_match	result_relation
Task58	weak adjacent-token dependence and edge coupling	ROZANOVA_TEMEREV2026	corrected token MI; glyph-edge MI	HIGH; different transcription/sample	AGREES
Task59	high-frequency positional glyph specialization	STOLFI2007;LANDINI2001	positional glyph distributions	MEDIUM; modern permutation controls extend prior descriptions	PARTIALLY_AGREES
Task60	exact/near repetition and edit families	SCHINNER2017;TIMM_SCHINNER2019	repetition/similarity and self-citation	MEDIUM; Task60 adds matched nulls	PARTIALLY_AGREES
Task61	character conditional entropy	LINDEMANN_BOWERN2021	h2 character entropy	HIGH; representation differs	PARTIALLY_AGREES
Task62	token-internal formation versus sequence rule	TIMM_SCHINNER2019	local generation/similarity	LOW; no matched published held-out model	NO_PREVIOUS_TEST_FOUND
Task63	small residual adjacent form effect	TIMM_SCHINNER2019	local self-citation	LOW; different estimand	NO_PREVIOUS_TEST_FOUND
Task64	broader local regime, not physical-line specialness	MONTEMURRO_ZANETTE2013;STERNECK_POLISH_BOWERN2021	section/page organization	LOW; line-matched controls are distinct	NO_PREVIOUS_TEST_FOUND
Task65	mixed drift/states and metadata-conditioned local decay	CURRIER1976;PARISEL2026	A/B grouping	MEDIUM for heterogeneity; low for topology	PARTIALLY_AGREES
Task66	constrained formation required in tested synthetic mechanism grid	GRESHKO2025;TIMM_SCHINNER2019	forward synthetic resemblance	MEDIUM; Task66 is broader held-out architecture search	METHODOLOGICALLY_DISTINCT_EXTENSION
Task67	fingerprint/recoverability and information-loss trade-off	TRITHEMIUS1518	historical key/table recoverability	LOW; no direct Voynich-like loss/recovery test found	NO_PREVIOUS_TEST_FOUND
