candidate	corpus	error_type	error_position	corrupted_form_valid	detectable	silent_error	decoded_unit_matches	measurement
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	32	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	64	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	126	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_DELETION	0	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_DELETION	32	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_DELETION	64	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_DELETION	126	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_INSERTION	0	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_INSERTION	32	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_INSERTION	64	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	GLYPH_INSERTION	126	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	0	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	32	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	64	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	126	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	0	true	false	true	false	frozen valid-form dictionary; no oracle error location
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	32	true	false	true	false	frozen valid-form dictionary; no oracle error location
