defect_or_result	status_of_evidence	G1_v2_response	classification
Task86R G1_MINIMAL_CLASS=NONE	HISTORICAL; qualified by TASK86R_CONFIRMATORY_INTEGRITY_QUALIFIED	preserve without reinterpretation; no threshold chosen to change it	NO_CHANGE
Task86C M0-M5 recovery=0 and natural controls=NONE	PROVEN AGGREGATE RESULT	new independent blind controls must validate measurement before Voynich	SCIENTIFIC_CHANGE
Task86C PM6 negative exhaustion widespread	PROVEN	finite-complement sampling with replacement and explicit coverage	SCIENTIFIC_CHANGE
PM6 sole cause	UNRESOLVED; Task86C-a cannot reconstruct individual PM gates	no sole-cause claim; persist all PM gates	SCIENTIFIC_COMPLETION
PM1/2/4/5 behavior	UNRESOLVED; values/gates absent	persist value/baseline/threshold/availability/finite/per-baseline outcome	SCIENTIFIC_COMPLETION
M3/M4 training failures	PROVEN COMPUTATIONAL OUTCOME	class evidence separated from induction result; independent fit routes	SCIENTIFIC_CHANGE
F2 cause of rejection	UNRESOLVED; only aggregate boolean retained	persist metric/family/scale/replicate evidence and NOT_REACHED	SCIENTIFIC_COMPLETION
numeric generation failures	PROVEN FAILURE EVENTS	status remains scientific but cannot imply model-class inadequacy	SCIENTIFIC_COMPLETION
skeleton-only F2	PROVEN BY CONSTRUCTION	retain diagnostic values; weight zero in adequacy	SCIENTIFIC_COMPLETION
12h/two-node runtime	HISTORICAL TELEMETRY	Phase-I dynamic mTLS executor adapter and fine DAG jobs	INFRASTRUCTURE_CHANGE
