failure	kind	retry	job_identity	action
WORKER_LOST	INFRASTRUCTURE	YES	UNCHANGED	expire lease and requeue
SSH_FAILURE	INFRASTRUCTURE	YES	UNCHANGED	reconnect/reassign
PROCESS_INTERRUPTED	INFRASTRUCTURE	YES	UNCHANGED	requeue incomplete job
RESULT_TRANSFER_FAILED	INFRASTRUCTURE	YES	UNCHANGED	discard partial transfer and requeue
STORAGE_FAILURE	INFRASTRUCTURE	YES	UNCHANGED	pause queue; retry after storage health
WRONG_EXECUTABLE_HASH	INFRASTRUCTURE	NO	UNCHANGED	reject worker/result
CORRUPT_RESULT	INFRASTRUCTURE	YES	UNCHANGED	quarantine copy; retry elsewhere
DUPLICATE_IDENTICAL	REPRODUCIBILITY	NO	UNCHANGED	retain provenance; count once
DUPLICATE_CONFLICT	INFRASTRUCTURE	NO	UNCHANGED	quarantine every copy; block aggregation
TRAINING_FAILED	SCIENTIFIC	NO	UNCHANGED	publish result and MODEL_NOT_IDENTIFIABLE
INDUCTION_LIMIT_REACHED	SCIENTIFIC	NO	UNCHANGED	publish result and MODEL_NOT_IDENTIFIABLE
CONVERGENCE_FAILED	SCIENTIFIC	NO	UNCHANGED	publish result and MODEL_NOT_IDENTIFIABLE
GENERATION_FAILED	SCIENTIFIC	NO	UNCHANGED	publish result and MODEL_NOT_IDENTIFIABLE
METRIC_UNAVAILABLE	SCIENTIFIC	NO	UNCHANGED	publish NOT_ASSESSABLE
