artifact	sha256	input_binding	producer	reproduction	status
research/phase2/fingerprint/F2_STABILITY_FINAL.tsv	4b667626a07855cc5d99601ec68a2a20e95cc99f7017fb9a38626b2419cc9456	ZL+IT Task79c artifacts	Task79c aggregate	semantic audit	SUPPORTED
research/phase2/fingerprint/F2_METRIC_REGISTRY_FINAL.tsv	7803afb24d5fd525eeeaae4aa6fec91263969aa49c85c92128adee9453389035	ZL Task79 + Task79c closure	Task79c aggregate	semantic audit	SUPPORTED
research/phase2/fingerprint/TRANSCRIPTION_ALIGNMENT.tsv	e93910a69d42062303072706f98a864804ccdaf803bd7063878172d95103c6b0	raw ZL+IT	Task79c aggregate	input/checksum audit	SUPPORTED
research/phase2/fingerprint/TRANSCRIPTION_STABILITY.tsv	264704981106fcc46c81b25c76a7777f0ada0ca26783d417e06756adf9068ad6	ZL+IT fingerprints	Task79c aggregate	IT scientific payload reproduction	SUPPORTED
experiments/fingerprint-v2-task79c-v1/pf4-hr-out/pf4_hierarchy_result.json	76e7d8587d959e261bc3b3be197c3d0033ead4f50770bfc9cdbe759555284c1d	canonical line_profiles	task79c-pf4-hr	BYTE_IDENTICAL	SUPPORTED
experiments/fingerprint-v2-task79c-v1/distance-pareto-out/combined_discriminative_validation.json	66e30a621ae8166da4f6b23619a812b28a48d053f185fdd4a10a53270d440885	canonical+portfolio discriminative outputs	Task79c aggregation	checksum/structure audit	SUPPORTED
experiments/fingerprint-v2-task79c-v1/distance-pareto-out/full_portfolio_distance_pareto.json	186fd948485f48f806afbf4bc74aa717caa933e84dac47cb695af5669fe84924	combined discriminative + canonical registry	task79c-distance-pareto	BYTE_IDENTICAL	SUPPORTED
experiments/fingerprint-v2-task79-v1/canonical-out/fingerprint.json	37a6dbea4f5c82047dbeb147e6a065f85d71a4578b3409b913fddf0681a26b6d	prepared ZL embedded	fingerprint-v2-analyze	binding and prior frozen-run audit	SUPPORTED
experiments/fingerprint-v2-task79-v1/canonical-out/raw_results.json	e6d6aa3f8441802b271740ea9da8f8ef832aa5ab7133660fd5d1bca2773a9ac0	prepared ZL embedded	fingerprint-v2-analyze	binding and prior frozen-run audit	SUPPORTED
experiments/fingerprint-v2-task79-v1/canonical-out/freeze_manifest.json	b11905435abbe3b65c88e4a5da3c677cc9dfe42804c1580ffe17f434f970c6f0	prepared ZL embedded	fingerprint-v2-analyze	binding audit	SUPPORTED
experiments/fingerprint-v2-task79c-v1/transcription-it-out/fingerprint.json	d87d219713fc3c24ee8548a2d92f705ba8516ff012f03af980bd51bf90eae8ca	prepared IT embedded	fingerprint-v2-analyze	PARTIAL: statuses/verdicts same; stochastic numeric fields differ	PARTIAL
experiments/fingerprint-v2-task79c-v1/transcription-it-out/raw_results.json	4e967d4025154527bf026718f36973af421167e4111f2f64aa320765f429dea1	prepared IT embedded	fingerprint-v2-analyze	PARTIAL: historical seeded run not byte/numerically identical	PARTIAL
experiments/fingerprint-v2-task79c-v1/transcription-it-out/freeze_manifest.json	eece92a0bce1212e819cdc68ff5a9776a15e75cd75afbf617d6c886b09b1f2dc	prepared IT embedded	fingerprint-v2-analyze	binding audit	SUPPORTED
experiments/fingerprint-v2-task79c-v1/controls-portfolio-out/fingerprint.json	0cd0ecc7a4628c7f952ad89d7fcc9324c5d30f28106e9e699a5ad873053838f5	ZL + all control corpus hashes embedded	fingerprint-v2-analyze	binding audit	SUPPORTED
experiments/fingerprint-v2-task79c-v1/controls-portfolio-out/raw_results.json	c870e273e64a901efb08dad6917b36e5be18cb266bdf98cf25846ab4efda4e85	ZL + all control corpus hashes embedded	fingerprint-v2-analyze	binding audit	SUPPORTED
experiments/fingerprint-v2-task79c-v1/controls-portfolio-out/freeze_manifest.json	47e4489fcb73c7034f2339358fbbbb05ddb3e1bbc1a8323a3cc1aa8b852e8a70	prepared ZL embedded	fingerprint-v2-analyze	binding audit	SUPPORTED
research/phase2/fingerprint/FINGERPRINT_V2_FREEZE_MANIFEST.json	b9a1b03090bfd17b697a35a87bb51dc30a90714dbaa90e6837550cc229b427d3	one incorrect IT metadata hash	manual Task79c freeze	NOT_APPLICABLE	HISTORICAL_INCONSISTENT_PRESERVED
