metric_id	family	classification	required_structures	structures_available	estimator_availability	computational_requirements	task82a_original_status	applicability_status	reason
2DL1_LAYOUT_POSITION_MI	2D-LITE	CORE	TOKEN_SEQUENCE,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Frozen order/category statistic is computable on assembler-defined lines only.
BP1_BOUNDARY_TOKEN_NMI	boundary	CORE	TOKEN_SEQUENCE,TOKEN_BOUNDARIES,ASSEMBLER_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	GENERIC_EXTRACTION_EQUAL_TO_TASK79_V1	O(tokens); zero repetitions; full 468-job portfolio	PREVIOUSLY_COST_BOUNDED	ASSEMBLER_APPLICABLE	Frozen boundary statistic is computable on assembler-defined lines only.
EF1_GIANT_COMPONENT_SHARE	edit family	CORE	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Vocabulary edit graph requires no layout or manuscript metadata.
EF1_ISOLATE_SHARE	edit family	SUPPORTING	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Vocabulary edit graph requires no layout or manuscript metadata.
EF2_GLOBAL_CLUSTERING	edit family	CORE	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Vocabulary edit graph requires no layout or manuscript metadata.
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	GLYPH_SEQUENCE,TOKEN_SEQUENCE	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	COMPUTED_OR_ATTEMPTED	DIRECTLY_APPLICABLE	Vocabulary edit graph requires no layout or manuscript metadata.
HR1_FOLIO_VARIANCE_SHARE	hierarchy	CORE	FOLIOS,PHYSICAL_LINES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_STRUCTURE	NOT_APPLICABLE_STRUCTURE	No folio or physical-line hierarchy exists.
HR1_LOCUS_VARIANCE_SHARE	hierarchy	SUPPORTING	LOCUS_COORDINATES	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No locus metadata exists.
HR1_SECTION_VARIANCE_SHARE	hierarchy	CORE	SECTIONS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No section metadata exists.
HR6_CURRIER_SECTION_NMI	hierarchy	SUPPORTING	CURRIER_OR_EQUIVALENT_METADATA,SECTIONS	GLYPH_SEQUENCE,TOKEN_SEQUENCE,TOKEN_BOUNDARIES,LOCAL_MECHANISM_BOUNDARIES,ASSEMBLER_LINES; missing required manuscript structure	FROZEN_EXISTING	IMPORTED_FROM_TASK82A	NOT_APPLICABLE_METADATA	NOT_APPLICABLE_METADATA	No Currier-equivalent or section metadata exists.
